"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2020","TC-020 - Cocher une marque - seuls ses produits affichés","chromium","2026-08-18","passed","2026-08-18","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","3501","TC-014 - Cocher une catégorie","chromium","2026-08-18","passed","2026-08-18","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","1448","TC-005 - Register avec champs obligatoires vides","chromium","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1951","TC-033 - Vérifier la présence du bouton Add to favourites","chromium","2026-08-18","passed","2026-08-18","Add to favourites","Sprint_2___Catalogue/automatisation/tests/favourites.spec.ts","",""
"","7046","TC-017 - Nav catégorie valide (redirection correcte)","chromium","2026-08-18","failed","2026-08-18","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","2038","TC-004 - Recherche vide","chromium","2026-08-18","failed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","6322","TC-008 - Mot de passe 9 caractères","chromium","2026-08-18","failed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1807","TC-003 - Recherche avec terme inexistant","chromium","2026-08-18","passed","2026-08-18","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","7664","TC-015 - Message de confirmation affiché après Confirm","chromium","2026-08-18","passed","2026-08-18","Confirmation de commande","Sprint_4___Checkout/automatisation/tests/confirmation.spec.ts","",""
"","3300","TC-022 - Décocher une marque - filtre retiré","firefox","2026-08-18","passed","2026-08-18","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","7803","TC-027 - Nom de l'utilisateur affiché dans le menu après connexion","firefox","2026-08-18","failed","2026-08-18","Menu utilisateur connecté","Sprint_1___Access-management/automatisation/tests/navbar.spec.ts","",""
"","2102","TC-007 - Mot de passe 8 caractères","firefox","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","6271","TC-010 - Vérifier que toutes les options du select sont valides","chromium","2026-08-18","failed","2026-08-18","Méthode de paiement","Sprint_4___Checkout/automatisation/tests/payment-method.spec.ts","",""
"","3947","TC-015 - Cocher plusieurs catégories (produits combinés)","firefox","2026-08-18","passed","2026-08-18","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","5761","TC-015 - Total du panier mis à jour après suppression","firefox","2026-08-18","failed","2026-08-18","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","1818","TC-016 - Login avec email mal formaté","chromium","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","1733","TC-010 - Tri Price (Low-High)","chromium","2026-08-18","failed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","3056","TC-021 - Cocher plusieurs marques - produits combinés","firefox","2026-08-18","passed","2026-08-18","Filtre par marque et Sustainability","Sprint_2___Catalogue/automatisation/tests/brand.spec.ts","",""
"","2093","TC-010 - Mot de passe 11 caractères","firefox","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","3761","TC-003 - Login avec credentials invalides","chromium","2026-08-18","passed","2026-08-18","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","3586","TC-016 - Supprimer le dernier produit","chromium","2026-08-18","failed","2026-08-18","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","2395","TC-030 - Cliquer sur + (quantité incrémente de 1)","chromium","2026-08-18","failed","2026-08-18","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","6532","TC-008 - Quantité à 0 (soumission bloquée ou remise à 1)","firefox","2026-08-18","failed","2026-08-18","Quantité panier","Sprint_3___Panier/automatisation/tests/quantity-cart.spec.ts","",""
"","5443","TC-028 - Valeurs limites (1€ et 200€) - comportement stable","chromium","2026-08-18","passed","2026-08-18","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","2318","TC-018 - Élément propre à /account affiché après login","chromium","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","8033","TC-021 - Email inexistant","firefox","2026-08-18","passed","2026-08-18","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","1794","TC-012 - Login avec email inexistant","chromium","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","3105","TC-008 - Tri des noms de produits (Z-A)","firefox","2026-08-18","failed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","2261","TC-013 - Login avec mauvais mot de passe","firefox","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","1965","TC-009 - Tri Price (High-Low)","chromium","2026-08-18","failed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","7258","TC-026 - Accès /account après logout","chromium","2026-08-18","failed","2026-08-18","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","3921","TC-010 - Total par ligne correct (prix × quantité initiale)","firefox","2026-08-18","failed","2026-08-18","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","1458","TC-004 - Register avec email mal formaté","chromium","2026-08-18","passed","2026-08-18","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","6520","TC-012 - Vérifier la présence des champs Account name et Account number","chromium","2026-08-18","passed","2026-08-18","Informations de paiement","Sprint_4___Checkout/automatisation/tests/payment-info.spec.ts","",""
"","3634","TC-030 - Cliquer sur + (quantité incrémente de 1)","firefox","2026-08-18","failed","2026-08-18","Sélecteur de quantité (page produit)","Sprint_2___Catalogue/automatisation/tests/quantity.spec.ts","",""
"","1809","TC-008 - Tri des noms de produits (Z-A)","chromium","2026-08-18","failed","2026-08-18","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","1822","TC-014 - Login avec email vide","chromium","2026-08-18","passed","2026-08-18","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","6403","TC-028 - Valeurs limites (1€ et 200€) - comportement stable","firefox","2026-08-18","passed","2026-08-18","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","1744","TC-022 - Champ email vide","firefox","2026-08-18","passed","2026-08-18","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
