"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6963","TC-002 - Recherche avec terme valide","firefox","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","5110","TC-004 - Register depuis le checkout (redirection vers Billing Address)","chromium","2026-08-10","failed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","12134","TC-015 - Message de confirmation affiché après Confirm","firefox","2026-08-10","passed","2026-08-10","Confirmation de commande","Sprint_4___Checkout/automatisation/tests/confirmation.spec.ts","",""
"","2019","TC-022 - Champ email vide","chromium","2026-08-10","passed","2026-08-10","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","2721","TC-011 - Tri CO₂ Rating (Best First)","chromium","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","6008","TC-005 - Bouton de recherche présent","firefox","2026-08-10","passed","2026-08-10","Recherche produit","Sprint_2___Catalogue/automatisation/tests/search.spec.ts","",""
"","4790","TC-015 - Login avec mot de passe vide","firefox","2026-08-10","passed","2026-08-10","Login","Sprint_1___Access-management/automatisation/tests/login.spec.ts","",""
"","5139","TC-016 - Décocher une catégorie","firefox","2026-08-10","passed","2026-08-10","Filtre par catégorie","Sprint_2___Catalogue/automatisation/tests/category.spec.ts","",""
"","1166","TC-006 - Vérifier la présence du select de tri","chromium","2026-08-10","passed","2026-08-10","Tri des produits","Sprint_2___Catalogue/automatisation/tests/sort.spec.ts","",""
"","4626","TC-014 - Supprimer un produit parmi plusieurs","chromium","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","4631","TC-003 - Login avec credentials invalides","firefox","2026-08-10","passed","2026-08-10","Sign In dans le checkout","Sprint_4___Checkout/automatisation/tests/signin.spec.ts","",""
"","4268","TC-005 - Ajouter le même produit plusieurs fois","chromium","2026-08-10","failed","2026-08-10","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
"","2747","TC-019 - Lien Forgot your password visible sur la page Login","firefox","2026-08-10","passed","2026-08-10","Forgot your password","Sprint_1___Access-management/automatisation/tests/forgot-password.spec.ts","",""
"","989","TC-005 - Register avec champs obligatoires vides","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","3201","TC-010 - Mot de passe 11 caractères","firefox","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","3024","TC-016 - Supprimer le dernier produit","chromium","2026-08-10","failed","2026-08-10","Suppression panier","Sprint_3___Panier/automatisation/tests/delete.spec.ts","",""
"","5493","TC-026 - Accès /account après logout","firefox","2026-08-10","passed","2026-08-10","Logout","Sprint_1___Access-management/automatisation/tests/logout.spec.ts","",""
"","1177","TC-001 - Vérifier la présence des champs obligatoires","chromium","2026-08-10","passed","2026-08-10","Register","Sprint_1___Access-management/automatisation/tests/register.spec.ts","",""
"","1745","TC-025 - Vérifier présence du slider de prix","chromium","2026-08-10","passed","2026-08-10","Filtre par fourchette de prix","Sprint_2___Catalogue/automatisation/tests/price.spec.ts","",""
"","4725","TC-017 - Vérifier la présence du bouton Proceed to checkout","firefox","2026-08-10","passed","2026-08-10","Proceed to checkout","Sprint_3___Panier/automatisation/tests/proceed-checkout.spec.ts","",""
"","2851","TC-010 - Total par ligne correct (prix × quantité initiale)","chromium","2026-08-10","failed","2026-08-10","Total panier","Sprint_3___Panier/automatisation/tests/total.spec.ts","",""
"","7276","TC-002 - Ajouter un produit (présent dans le panier)","firefox","2026-08-10","passed","2026-08-10","Add to cart","Sprint_3___Panier/automatisation/tests/add-to-cart.spec.ts","",""
